record_id,service,agency,agency_code,category,requirements,fees_summary,steps_summary,processing_time,source_url,last_verified
SVC-026,Death Certificate Registration & Issuance,Civil Registry Department,CIVREG,civil_registration,Medical Certificate of Cause of Death (BD 11 Form from hospital/doctor); Original National Identity Card of Deceased; Original Birth Certificate of Deceased (if available); Informant National Identity Card (Relative or representative); Burial Order / Mortuary Notification,Initial Death Certificate Registration Fee: $0; Duplicate Death Certificate Search Fee: $2,Obtain Medical Certificate of Cause of Death (Form BD 11) from attending medical practitioner | Informant reports to District Civil Registry Office with deceased's ID and BD 11 form | Civil Registry officer cancels deceased's ID and records death entry in register | Receive Burial Order for mortuary/cemetery clearance | Long-form Death Certificate printed and issued to informant,Same day (1-2 hours),https://www.civilregistry.gov.zw/,2026-07-31
SVC-027,Civil Marriage Registration & Certificate,Civil Registry Department,CIVREG,civil_registration,Bride and Groom National Identity Cards or Valid Passports; Original Birth Certificates of both parties; 2 Adult Witnesses with National IDs; Divorce Decree or Death Certificate of former spouse (if previously married); Marriage Notice Publication (if applicable),Marriage License Notice & Solemnization Fee: $25,File Notice of Intention to Marry at Civil Registry Office or Magistrates' Court | Notice published on court noticeboard for 21 days (or apply for Special Marriage License) | Appear before Magistrate or Marriage Officer with 2 witnesses | Solemnization of marriage under Marriages Act [Chapter 5:15] / [Chapter 5:17] | Sign Marriage Register and receive official Marriage Certificate,21 days notice / Same day solemnization,https://www.civilregistry.gov.zw/,2026-07-31
SVC-028,Motor Vehicle Customs Import Duty Clearance,Zimbabwe Revenue Authority,ZIMRA,tax,Original Vehicle Export Documentation / Registration Logbook; Commercial Purchase Invoice / Bill of Sale; Bill of Lading / Transport consignment note; Importer National ID / Passport Copy; ZIMRA Customs Clearance Declaration Form (Form SAD 500),Customs Duty Rate: $0; Customs Assessment Processing Fee: $20,"Present vehicle and shipping documents at ZIMRA Port of Entry (Beitbridge, Forbes, Chirundu) or inland port | Customs Agent submits SAD 500 declaration on ZIMRA ASYCUDA World system | ZIMRA Customs valuation officer inspects vehicle and verifies CIF value | Pay assessed Customs Duty, Surtax, and VAT | Receive Customs Clearance Certificate (Form 49) and ZIMRA Gate Pass for vehicle registration",1-3 working days,https://www.zimra.co.zw/,2026-07-31
SVC-029,Medicines Distribution & Wholesale Premises License,Medicines Control Authority of Zimbabwe,POTRAZ,postal_licensing,Registered Pharmacist Supervisory Clearance (Pharmacist Council of Zimbabwe retention); Company Incorporation Docs (Pvt Ltd); Premises Floor Plan conforming to Good Wholesale Practice (GWP); Security System (Vault/CCTV/Access control); Application Form M2,Premises Inspection Fee: $300; Annual Wholesale Licensing Fee: $1200,"Submit Application Form M2 with layout plans and pharmacist details to MCAZ Secretariat | Pay non-refundable inspection fee ($300) | MCAZ Inspectorate performs physical audit of temperature controls, security, and storage facility | Inspectors submit report to MCAZ Licensing Committee | Upon approval, pay annual licensing fee ($1,200) and receive Wholesale Premises License",30-60 calendar days,https://www.mcaz.co.zw/,2026-07-31
SVC-030,Standards Mark Quality Certification,Standards Association of Zimbabwe,DCIP,intellectual_property,Company Registration & Tax Clearance; Product Technical Specification Sheet; Factory Quality Management System (QMS / ISO 9001 documentation); Product Test Samples for laboratory analysis; Application Form SAZ 1,Product Laboratory Testing Fee: $250; Annual Standards Mark Licensing Fee: $800,"File Application Form SAZ 1 with product specifications at SAZ headquarters | Submit product samples for laboratory testing against Zimbabwean Standard (ARS/ZS) | SAZ auditors conduct factory floor Quality Management System audit | Upon meeting standard compliance, SAZ awards Quality Certification Mark | Affix SAZ Quality Mark on product packaging",30-45 calendar days,https://www.saz.org.zw/,2026-07-31
SVC-031,Open General Import Licence (OGIL) / Import Permit,Ministry of Industry and Commerce,DCIP,procurement,Registered Business Certificate (Pvt Ltd/PBC); Valid ZIMRA Tax Clearance Certificate (ITF263); Proforma Invoice detailing imported goods and HS Codes; Justification Letter for commercial import; Application Form MIC 1,Import Permit Application Processing Fee: $30,Access Ministry of Industry and Commerce e-Services portal | Complete Import Permit Application Form MIC 1 with tariff codes (HS Codes) | Attach proforma invoice and valid ZIMRA Tax Clearance | Pay $30 application processing fee | Ministry officials audit import justification against domestic production reserves | Receive digital Import Permit clearance for ZIMRA customs border entry,3-5 working days,https://www.ictministry.gov.zw/,2026-07-31
SVC-032,Export Registration and CD1 Form Customs Clearance,Reserve Bank of Zimbabwe & ZIMRA,ZIMRA,tax,Registered Exporter Profile on RBZ CEEC System; Valid ZIMRA Tax Clearance (ITF263); Export Sales Contract / Invoice; Bill of Lading / Airway Bill; CD1 Export Declaration Form,Export Clearance Processing Fee: $0,Register Exporter profile on RBZ Computerised Export Exchange Control System (CEEC) | Generate online Form CD1 for commercial export consignment | Submit CD1 form along with export contract and invoice | ZIMRA Customs performs physical border export inspection and seals container | Acquit CD1 form with RBZ within 90 days upon receipt of foreign export proceeds,1-2 working days,https://www.rbz.co.zw/,2026-07-31
SVC-033,Prospecting Licence & Mining Claim Registration,Ministry of Mines and Mining Development,DCIP,business_registration,Applicant National ID / Company Registration Documents; Certificate of Financial Capability; Completed Form M1 (Prospecting Application); Landowner Notification Acknowledgment / Communal Chief Clearance; Engagement of Registered Approved Prospector,Prospecting Licence Statutory Fee: $200; Mining Claim Pegging & Registration Fee: $100,Submit Form M1 at Provincial Mining Commissioner's Office | Purchase Prospecting Licence ($200) | Engage registered Approved Prospector to post Prospecting Notice (DPN) on ground | Await statutory 30-day notice window | File Registration Application with sketch map and GPS coordinates | Mining Commissioner issues Mining Claim Certificate of Registration,30-45 calendar days,https://www.mines.gov.zw/,2026-07-31
SVC-034,Mineral Export & Movement Permit,Ministry of Mines and Mining Development,DCIP,procurement,Mining Claim Registration Certificate; Fidelity Gold Refinery (FGR) / Minerals Marketing Corporation (MMCZ) Clearance; Royalties Payment Clearance from ZIMRA; CID Minerals Flora & Fauna Unit Security Clearance,Mineral Movement Permit Application Fee: $50; Royalty Rate (Gold / Platinum / Lithium): $0,Assay mineral sample at Fidelity Gold Refinery or MMCZ laboratory | Pay statutory mining royalties to ZIMRA | Obtain CID Minerals & Border Control security clearance | Submit application to Ministry of Mines Mining Commissioner | Receive Mineral Movement & Export Permit,3-5 working days,https://www.mines.gov.zw/,2026-07-31
SVC-035,Livestock Movement Permit & Veterinary Clearance,Department of Veterinary Services,CIVREG,civil_registration,ZRP Stock Theft Police Clearance (Form 392); Veterinary Inspection Officer Certificate (proving Foot & Mouth / Anthrax vaccination); Buyer & Seller National ID Copies; Destination Dip Tank / Abattoir Approval,Veterinary Livestock Movement Permit Fee: $5; Cattle Inspection Fee per Head: $1,"Report livestock sale to local ZRP station for Stock Theft clearance (Form 392) | Request Veterinary Department officer to inspect cattle at dip tank | Vet officer verifies brand marks, ear tags, and health status | Pay veterinary permit fee ($5 + $1/head) | Receive DVS Livestock Movement Permit valid for 7 days",1-2 working days,https://www.livestock.gov.zw/,2026-07-31
SVC-036,Tobacco Grower Registration & Marketing Number,Tobacco Industry and Marketing Board,DCIP,business_registration,"Grower National ID Card Copy; Proof of Land Tenure (Title Deed, Offer Letter, A2 Permit, or Communal Chief Certificate); Farm GPS Location Coordinates; Active Bank Account Details",TIMB Early Registration Fee (before Oct 31): $10; Late Registration Fee: $40,Access TIMB Self-Service Portal (portal.timb.co.zw) or visit TIMB Regional Office | Fill in Tobacco Grower Registration Form detailing hectarage and seed variety | Attach proof of land ownership / occupation and ID | Pay registration fee ($10 early bird) | Receive unique TIMB Grower Sales Number for auction floor deliveries,1-2 working days,https://www.timb.co.zw/,2026-07-31
SVC-037,Environmental Impact Assessment (EIA) Certificate,Environmental Management Agency,DCIP,business_registration,Project Prospectus Document; EIA Study Report conducted by EMA-registered Environmental Consultant; Proof of Public Stakeholder Consultation & Newspaper Notices; Project Site Layout & Engineering Designs,EIA Review & Certification Fee: $210,Submit Project Prospectus to EMA Director General for screening | Engage registered independent Environmental Consultant to conduct EIA study | Publish public notice in national newspapers for 21-day stakeholder feedback | Submit comprehensive EIA Report to EMA for technical evaluation | EMA Technical Committee performs physical site inspection | Issuance of 2-Year Renewable EIA Certificate,30-60 calendar days,https://www.ema.co.zw/,2026-07-31
SVC-038,Effluent and Waste Discharge Licence,Environmental Management Agency,DCIP,business_registration,Active EMA EIA Clearance / Registration; Waste Management & Effluent Treatment Layout; Laboratory Test Results of Waste Discharge Samples; Completed Form EMA W1,Effluent Discharge Licence Classification Fee: $150,Submit Waste Management Plan and Form EMA W1 to EMA Regional Office | EMA laboratory technicians collect effluent samples from discharge points | Laboratory analysis classifies discharge quality into environmental risk bands | Pay annual effluent discharge licence fee based on classification band | Receive EMA Effluent & Waste Discharge Licence,14-30 calendar days,https://www.ema.co.zw/,2026-07-31
SVC-039,Bureau de Change Operating License,Reserve Bank of Zimbabwe,ZIMRA,business_registration,"Proof of Minimum Paid-up Capital ($50,000 USD banked at RBZ designated bank); Incorporation Documents (Pvt Ltd); Anti-Money Laundering & Counter-Terrorist Financing (AML/CFT) Policy Manual; CID Vetting and Security Clearances for all Directors and Shareholders; Secure Physical Operating Premises with Vault and CCTV",RBZ Bureau de Change Application Fee: $1000; Initial Annual Operating License Fee: $2500,"Submit formal application dossier to RBZ Exchange Control Division | Deposit required minimum capital reserve ($50,000) into designated bank account | Financial Intelligence Unit (FIU) conducts AML/CFT compliance audit and CID vetting | RBZ Exchange Control Committee conducts physical premises inspection | RBZ Governor grants approval and issues Bureau de Change Operating Licence",60-90 calendar days,https://www.rbz.co.zw/,2026-07-31
SVC-040,Microfinance Institution (MFI) Registration,Reserve Bank of Zimbabwe,ZIMRA,business_registration,"Proof of Minimum Capital ($25,000 USD for Credit-only MFI; $500,000 for Deposit-taking MFI); Company Incorporation Documents; Fit and Proper Person Assessment Forms for Directors; Credit Risk Management & Loan Policy Framework; Physical Business Office Premises",MFI Registration Application Processing Fee: $500; Annual MFI Operating Licence Fee: $1500,Submit Microfinance Licence application form MFI 1 to RBZ Supervision Division | Pay $500 non-refundable application fee | RBZ Bank Supervision officers conduct vetting of directors and capital verification | On-site inspection of credit administration systems and IT infrastructure | RBZ grants Microfinance Operating Licence under Microfinance Act [Chapter 24:29],60-90 calendar days,https://www.rbz.co.zw/,2026-07-31
SVC-041,Electricity Service Connection & Prepaid Meter Installation,Zimbabwe Electricity Transmission and Distribution Company,POTRAZ,postal_licensing,Proof of Property Ownership / Title Deed / Municipal Stand Allocation / Lease Agreement; National ID Copy of Applicant; Wiring Certificate signed by Registered Electrical Contractor; Completed Service Connection Application Form ZET 1,Standard Single-Phase Meter Connection Fee: $100; Three-Phase Industrial Meter Connection Fee: $350,Engage ZETDC-certified electrical contractor to complete property internal wiring | Contractor issues signed Electrical Wiring Completion Certificate | Submit Form ZET 1 and wiring certificate to nearest ZETDC Client Service Centre | Pay prescribed meter connection fee ($100 single-phase) | ZETDC meter technicians inspect wiring and install smart prepaid meter,14-30 calendar days,https://www.zetdc.co.zw/,2026-07-31
SVC-042,Petroleum Retail & Fuel Station Operating Licence,Zimbabwe Energy Regulatory Authority,POTRAZ,postal_licensing,Approved EMA EIA Clearance Certificate; Local Authority Town Planning & Building Approval Permit; Chief Fire Officer Inspection Clearance Certificate; Fuel Storage Tank Pressure Test & Calibration Certificates; Company Incorporation Documents & ZIMRA Tax Clearance,Urban Petroleum Retail Licence Fee: $2000; Rural Service Station Licence Fee: $500,"Apply for Petroleum Retailer Licence via ZERA e-portal (zera.co.zw) | Upload EMA EIA certificate, Fire Brigade clearance, and council permits | ZERA Technical Engineers conduct physical safety audit of pumps and underground tanks | ZERA Board approves licence application | Pay annual retail licensing fee ($2,000 urban / $500 rural) and receive ZERA Licence Disc",30-45 calendar days,https://www.zera.co.zw/,2026-07-31
